Student_ID,Age,GPA,Attendance_Rate,Assignment_Avg,Exam_Score,LMS_Login_Frequency,Video_Engagement_Time,Forum_Interactions,Engagement_Score,Stress_Level_Index,Dropout_Risk
STD00001,23,5.6,93.16,44.7,71.37,9,6.18,13,0.63,0.68,0
STD00002,20,7.88,91.12,74.41,35.94,21,13.62,2,0.81,0.36,0
STD00003,24,7.0,58.67,45.9,40.26,9,8.62,17,0.81,0.86,0
STD00004,21,5.6,74.29,66.96,72.52,23,7.03,5,0.69,0.54,0
STD00005,23,4.9,55.85,96.43,95.86,9,9.88,16,0.83,0.55,0
STD00006,19,4.76,84.11,97.17,91.33,12,14.32,13,0.47,0.98,0
STD00007,23,9.19,97.49,54.36,98.87,23,12.02,13,0.9,0.95,0
STD00008,24,5.46,56.85,77.45,69.31,9,1.08,19,0.69,0.42,0
STD00009,21,7.91,86.69,68.44,86.22,15,5.32,12,0.86,0.23,0
STD00010,20,8.86,81.61,92.54,89.63,2,7.32,2,0.64,0.39,0
STD00011,24,7.68,79.18,56.29,77.12,11,5.06,12,0.37,0.13,0
STD00012,24,9.16,69.51,40.22,57.02,11,10.65,1,0.63,0.12,0
STD00013,19,6.35,67.76,49.75,65.55,8,12.48,8,0.5,0.46,0
STD00014,22,9.74,52.26,60.97,90.76,23,11.1,12,0.76,0.95,0
STD00015,21,4.8,60.9,58.94,54.41,6,14.85,7,0.58,0.88,0
STD00016,18,4.61,50.76,87.48,95.04,21,4.45,15,0.87,0.56,0
STD00017,24,7.95,79.07,80.83,49.94,20,13.19,2,0.74,0.61,0
STD00018,22,9.66,55.29,57.97,83.72,7,11.62,12,0.75,0.11,0
STD00019,18,8.85,93.65,67.46,75.99,3,5.75,3,0.37,0.29,0
STD00020,21,4.46,76.16,45.73,83.72,8,11.14,17,0.99,0.12,0
STD00021,17,5.68,84.98,93.89,63.43,18,2.01,1,0.87,0.78,0
STD00022,22,9.58,70.54,96.13,95.62,17,11.95,19,0.83,0.23,0
STD00023,25,5.52,78.03,98.79,76.11,11,8.22,14,0.46,0.88,0
STD00024,17,8.69,97.13,92.11,53.74,2,4.74,16,0.63,0.68,0
STD00025,19,8.95,54.14,50.44,76.5,21,10.01,9,0.31,0.31,0
STD00026,23,6.97,62.7,42.77,53.64,24,9.8,0,0.63,0.24,0
STD00027,20,6.32,89.0,74.78,54.09,19,3.54,5,0.32,0.66,0
STD00028,25,6.7,54.94,94.76,60.97,7,0.94,2,0.64,0.91,0
STD00029,19,5.36,53.78,50.64,90.41,18,6.79,18,0.72,0.75,0
STD00030,21,9.34,68.08,40.42,67.52,8,8.76,6,0.51,0.41,0
STD00031,19,6.7,54.61,88.33,79.13,14,13.21,12,0.6,0.63,0
STD00032,23,9.29,79.25,44.61,60.48,7,13.96,12,0.9,0.38,0
STD00033,21,4.63,61.31,64.82,52.13,21,8.17,16,0.29,1.0,1
STD00034,25,9.93,94.78,80.73,97.05,4,11.43,0,0.83,0.77,0
STD00035,23,6.66,89.18,54.21,74.23,17,6.87,13,0.34,0.65,0
STD00036,18,4.29,84.99,45.04,95.71,5,11.32,2,0.23,0.48,0
STD00037,20,4.23,80.85,86.2,48.22,12,3.47,13,0.35,0.66,0
STD00038,25,8.48,93.17,77.81,44.55,9,5.88,0,0.81,0.41,0
STD00039,18,7.95,61.15,99.31,90.63,20,9.7,15,0.52,0.13,0
STD00040,25,8.81,93.66,60.66,79.26,13,0.76,9,0.9,0.46,0
STD00041,21,4.63,89.47,43.71,47.13,18,10.98,12,0.62,0.94,0
STD00042,18,4.21,87.41,84.06,52.51,20,12.62,3,0.22,0.66,0
STD00043,20,7.05,78.06,71.3,87.04,9,6.29,8,0.77,0.18,0
STD00044,23,6.33,62.31,52.79,64.5,4,7.0,13,0.29,0.9,0
STD00045,24,6.77,71.18,86.9,78.59,21,12.84,3,0.83,0.34,0
STD00046,19,9.95,89.68,52.23,55.69,8,11.75,9,0.33,0.32,0
STD00047,17,9.82,51.59,55.64,59.78,1,4.68,7,0.48,0.37,0
STD00048,20,9.65,89.1,45.55,99.4,17,5.2,2,0.81,0.62,0
STD00049,18,8.7,62.0,63.97,51.1,9,10.34,6,0.96,0.59,0
STD00050,24,6.13,57.22,65.14,67.92,20,8.67,9,0.5,0.54,0
STD00051,20,6.47,55.79,70.87,89.89,13,2.85,2,0.86,0.75,0
STD00052,18,7.3,51.36,82.54,50.55,2,4.99,1,0.35,0.38,0
STD00053,22,8.98,76.18,94.37,61.99,13,13.55,14,0.85,0.8,0
STD00054,22,4.41,60.91,48.26,74.98,9,10.48,8,0.73,0.26,0
STD00055,20,6.55,99.47,43.26,66.28,20,14.8,14,0.35,0.8,0
STD00056,22,4.5,78.72,41.11,64.87,6,11.62,16,0.44,0.7,0
STD00057,18,7.09,56.89,48.62,58.56,1,14.16,6,0.31,0.71,0
STD00058,18,9.39,84.44,79.48,73.13,5,3.63,19,0.51,0.53,0
STD00059,20,8.69,94.89,83.65,75.58,3,11.69,17,0.36,0.7,0
STD00060,24,5.37,87.26,87.19,77.46,4,0.79,14,0.72,0.17,0
STD00061,23,9.86,53.82,54.62,39.57,1,10.23,17,1.0,0.87,0
STD00062,25,8.0,94.79,58.35,76.02,14,7.3,11,0.21,0.15,0
STD00063,24,4.06,89.7,68.99,96.96,9,5.53,7,0.63,0.23,0
STD00064,21,5.53,57.92,43.79,70.16,24,13.0,1,0.66,0.62,0
STD00065,18,5.56,52.59,76.67,81.49,4,12.89,1,0.93,0.77,0
STD00066,21,4.42,77.87,99.02,71.19,18,0.82,4,0.6,0.17,0
STD00067,24,9.76,57.8,61.65,90.56,14,9.34,0,0.63,0.93,0
STD00068,25,6.87,91.73,85.17,95.42,4,5.83,3,0.58,0.98,0
STD00069,25,9.37,67.92,70.0,46.97,10,6.53,5,0.42,0.65,0
